,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas Ocupadas,Prom. Grado Escolar,Personas C/Servicio de Salud
58182,29.0,98.0,17.0,76.0,49.0,42.0,9.08,75.0
58183,15.456863657515123,46.0,7.0,42.0,26.0,21.0,9.62,38.0
58184,15.456863657515123,123.0,17.0,112.0,54.0,72.0,11.0,100.0
58185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58186,99.0,310.0,49.0,269.0,150.0,142.0,10.89,242.0
58188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58189,15.456863657515123,64.0,9.0,47.675835426737876,26.0,24.0,8.35,38.0
58190,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58191,15.456863657515123,1.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58192,15.456863657515123,72.0,9.0,47.675835426737876,30.0,28.0,8.0,61.0
58193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58194,20.0,53.0,7.459091211939503,48.0,28.0,19.0,8.5,40.0
58195,5.0,22.0,7.459091211939503,14.0,11.0,9.0,5.83,13.0
58196,15.456863657515123,37.0,7.459091211939503,35.0,20.0,16.0,9.23,27.0
58197,15.456863657515123,25.0,7.459091211939503,25.0,10.0,12.0,10.42,19.0
58198,15.456863657515123,10.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58199,15.456863657515123,78.0,13.0,63.0,36.0,25.0,7.67,38.0
58200,15.456863657515123,19.0,7.459091211939503,47.675835426737876,6.0,5.0,5.6,5.0
58201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58202,11.0,44.0,9.0,37.0,24.0,17.0,8.67,36.0
58203,13.0,39.0,7.459091211939503,36.0,18.0,14.0,7.76,32.0
58204,15.456863657515123,42.0,7.459091211939503,40.0,16.0,15.0,6.84,36.0
58205,6.0,28.0,7.459091211939503,23.0,14.0,13.0,6.25,25.0
58206,14.0,41.0,7.459091211939503,29.0,17.0,11.0,8.46,25.0
58207,15.456863657515123,53.0,7.459091211939503,45.0,24.0,17.0,6.66,36.0
58208,8.0,21.0,4.0,21.0,8.0,8.0,9.13,16.0
58209,57.0,159.0,15.0,158.0,75.0,80.0,8.58,123.0
58210,13.0,39.0,7.459091211939503,39.0,10.0,17.0,8.38,31.0
58211,4.0,20.0,7.0,47.675835426737876,10.0,5.0,5.8,7.0
58212,15.456863657515123,12.0,3.0,47.675835426737876,4.0,5.0,8.5,11.0
58213,38.0,133.0,22.0,125.0,62.0,56.0,7.67,96.0
58214,15.456863657515123,59.0,7.459091211939503,59.0,20.0,27.0,8.3,51.0
58215,14.0,71.0,6.0,71.0,27.0,33.0,7.73,55.0
58216,15.456863657515123,53.0,3.0,53.0,26.0,28.0,7.7,37.0
58217,4.0,9.0,7.459091211939503,9.0,6.0,7.0,6.75,5.0
58218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58220,15.456863657515123,5.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58221,15.456863657515123,59.0,7.459091211939503,49.0,30.0,31.0,7.7,40.0
58222,15.456863657515123,75.0,7.459091211939503,44.0,31.0,37.0,8.04,53.0
58223,15.456863657515123,62.0,11.0,54.0,25.0,35.0,7.24,18.0
58224,15.456863657515123,91.0,9.0,71.0,39.0,59.0,7.48,58.0
58225,10.0,35.0,7.0,34.0,15.0,13.0,6.5,25.0
58226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58227,15.456863657515123,7.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58228,17.0,52.0,7.459091211939503,40.0,18.0,25.0,8.59,44.0
58229,15.456863657515123,73.0,10.0,47.675835426737876,38.0,32.0,7.73,47.0
58230,15.456863657515123,31.0,7.459091211939503,47.675835426737876,15.0,14.0,7.83,19.0
58231,15.456863657515123,9.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58232,15.456863657515123,75.0,9.0,61.0,26.0,34.0,7.61,35.0
58233,28.0,97.0,18.0,96.0,36.0,32.0,7.87,59.0
58234,15.456863657515123,15.0,7.459091211939503,15.0,8.0,3.0,5.88,13.0
58235,22.0,84.0,8.0,76.0,34.0,30.0,7.14,41.0
58236,15.456863657515123,163.0,20.0,136.0,66.0,67.0,7.67,93.0
58237,15.456863657515123,73.0,10.0,65.0,24.0,29.0,7.58,53.0
58238,15.456863657515123,56.0,7.459091211939503,51.0,25.0,23.0,5.83,30.0
58239,15.456863657515123,9.0,0.0,9.0,4.0,24.873125185625184,6.86,7.0
58240,15.456863657515123,8.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58241,15.456863657515123,50.0,7.459091211939503,47.0,18.0,21.0,6.06,26.0
58242,4.0,18.0,7.459091211939503,18.0,6.0,7.0,8.15,16.0
58243,4.0,17.0,7.459091211939503,17.0,8.0,7.0,8.78,6.0
58244,11.0,28.0,7.459091211939503,28.0,10.0,15.0,7.45,19.0
58245,15.456863657515123,4.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58246,24.0,79.0,9.0,74.0,36.0,30.0,7.42,53.0
58247,15.456863657515123,5.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58248,15.456863657515123,12.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58249,15.456863657515123,48.0,7.459091211939503,47.675835426737876,18.0,19.0,7.32,40.0
58250,15.456863657515123,9.0,7.459091211939503,47.675835426737876,23.416772057729503,24.873125185625184,8.90737707938029,43.27141300936098
58251,15.456863657515123,9.0,0.0,47.675835426737876,6.0,6.0,6.89,8.0
58252,15.456863657515123,12.0,0.0,12.0,6.0,5.0,6.57,5.0
58253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58255,96.0,296.0,42.0,254.0,132.0,144.0,10.24,246.0
58256,30.0,95.0,11.0,81.0,43.0,44.0,9.37,79.0
58257,55.0,177.0,26.0,169.0,80.0,87.0,9.03,137.0
58258,20.0,69.0,7.459091211939503,55.0,28.0,37.0,9.77,51.0
58259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58260,31.0,96.0,10.0,87.0,43.0,48.0,10.09,69.0
