NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas s/religion,Personas Ocupadas,Personas S/Internet,Personas C/Servicio de Salud
Tabasco,1,Balancán,1,Balancán,0558,5.0,43.0,4.0,42.0,19.0,9.906078158222744,21.0,6.0,39.0
Tabasco,1,Balancán,1,Balancán,0558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0558,45.0,140.0,14.0,131.0,61.0,9.0,64.0,15.0,70.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,13.0,0.0,13.0,6.0,0.0,4.0,13.429552281504792,7.0
Tabasco,1,Balancán,1,Balancán,0558,15.0,64.0,5.0,59.0,28.0,5.0,33.0,9.0,49.0
Tabasco,1,Balancán,1,Balancán,0558,44.0,126.0,4.0,119.0,50.0,7.0,63.0,11.0,100.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,58.0,3.0,57.0,31.0,9.906078158222744,33.0,10.0,47.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,115.0,7.0,106.0,43.0,9.0,47.0,18.0,76.0
Tabasco,1,Balancán,1,Balancán,0558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,68.0,5.0,68.0,34.0,0.0,20.0,11.0,64.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,44.0,0.0,40.0,20.0,4.0,20.0,4.0,42.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,14.0,0.0,14.0,6.0,0.0,7.0,13.429552281504792,13.0
Tabasco,1,Balancán,1,Balancán,0562,17.0,57.0,3.0,51.0,27.0,6.0,25.0,10.0,41.0
Tabasco,1,Balancán,1,Balancán,0562,16.0,56.0,3.0,42.0,26.0,14.0,27.0,12.0,37.0
Tabasco,1,Balancán,1,Balancán,0562,11.0,54.0,3.0,33.0,20.0,21.0,22.0,11.0,31.0
Tabasco,1,Balancán,1,Balancán,0562,62.0,218.0,12.0,189.0,97.0,29.0,112.0,35.0,154.0
Tabasco,1,Balancán,1,Balancán,0562,68.0,225.0,12.0,189.0,96.0,36.0,95.0,30.0,155.0
Tabasco,1,Balancán,1,Balancán,0562,31.772851503188583,52.0,4.0,44.0,29.0,8.0,27.0,8.0,32.0
Tabasco,1,Balancán,1,Balancán,0562,30.0,96.0,7.0,90.0,50.0,6.0,49.0,19.0,80.0
Tabasco,1,Balancán,1,Balancán,0562,31.772851503188583,70.0,3.0,57.0,33.0,13.0,38.0,14.0,57.0
Tabasco,1,Balancán,1,Balancán,0562,10.0,27.0,0.0,27.0,10.0,0.0,12.0,6.0,9.0
Tabasco,1,Balancán,1,Balancán,0562,31.772851503188583,47.0,3.0,44.0,18.0,3.0,24.0,8.0,42.0
Tabasco,1,Balancán,1,Balancán,0562,31.772851503188583,21.0,0.0,14.0,10.0,7.0,11.0,13.429552281504792,11.0
Tabasco,1,Balancán,1,Balancán,0562,31.772851503188583,61.0,5.0,54.0,27.0,7.0,32.0,8.0,50.0
Tabasco,1,Balancán,1,Balancán,0562,31.772851503188583,29.0,3.0,23.0,10.0,6.0,15.0,4.0,15.0
Tabasco,1,Balancán,1,Balancán,0562,9.0,24.0,3.0,22.0,10.0,9.906078158222744,11.0,7.0,10.0
Tabasco,1,Balancán,1,Balancán,0562,31.772851503188583,26.0,3.0,20.0,12.0,6.0,12.0,6.0,21.0
Tabasco,1,Balancán,1,Balancán,0632,6.0,13.0,0.0,12.0,7.0,9.906078158222744,9.0,3.0,7.0
Tabasco,1,Balancán,1,Balancán,0632,40.0,125.0,7.0,109.0,66.0,16.0,64.0,29.0,97.0
Tabasco,1,Balancán,1,Balancán,0647,19.0,46.0,5.0,32.0,18.0,14.0,22.0,10.0,45.0
Tabasco,1,Balancán,1,Balancán,0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0647,13.0,32.0,3.0,29.0,15.0,3.0,16.0,10.0,27.0
Tabasco,1,Balancán,1,Balancán,0685,31.772851503188583,27.0,0.0,22.0,9.0,5.0,10.0,9.0,27.0
Tabasco,1,Balancán,1,Balancán,069A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,069A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,069A,31.772851503188583,50.0,3.0,45.0,25.0,5.0,35.0,5.0,37.0
Tabasco,1,Balancán,1,Balancán,069A,20.0,67.0,3.0,64.0,31.0,3.0,33.0,13.0,53.0
Tabasco,1,Balancán,1,Balancán,069A,31.772851503188583,57.0,3.0,47.0,29.0,10.0,35.0,6.0,50.0
Tabasco,1,Balancán,1,Balancán,069A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0702,11.0,40.0,0.0,38.0,14.0,9.906078158222744,22.0,9.0,38.0
Tabasco,1,Balancán,1,Balancán,0702,31.772851503188583,65.0,5.0,45.0,28.0,20.0,33.0,10.0,58.0
Tabasco,1,Balancán,1,Balancán,0702,31.772851503188583,71.0,6.0,69.0,28.0,9.906078158222744,29.0,11.0,56.0
Tabasco,1,Balancán,1,Balancán,0717,31.772851503188583,6.0,0.0,79.1235484742101,3.0,9.906078158222744,3.0,13.429552281504792,5.0
Tabasco,1,Balancán,1,Balancán,0717,31.772851503188583,44.0,3.0,42.0,25.0,9.906078158222744,18.0,11.0,44.0
Tabasco,1,Balancán,1,Balancán,0717,31.772851503188583,44.0,7.0,43.0,22.0,9.906078158222744,16.0,3.0,37.0
Tabasco,1,Balancán,1,Balancán,0717,6.0,23.0,0.0,20.0,12.0,3.0,12.0,5.0,21.0
Tabasco,1,Balancán,1,Balancán,0717,3.0,22.0,0.0,22.0,10.0,0.0,9.0,0.0,16.0
